Data,Ar pritariate parengtam Vokiečių gatvės rekonstrukcijos projektui?,"Ar manot, kad tikslinga joje įrengti  Lietuvos garsių meno ir kultūros veikėjų įamžinimo vietą?"
9/27/15 16:08,"Jei ne, kodėl? Jūsų pasiūlymai. 1. Vilniaus senamiestis griuna, UNESCO nebus ka saugoti po metu penkeriu, jei lesos bus skiriamos neprotingai ir ne ten kur butina siai dienai. Vokieciu gatve tikrai ne ta vieta kuriai verkiant to reiketu. Manyciua, kad tikrai protingiau butu tas lesas skirti stoties/Kauno/Stepono/Raugyklos/Sodu/Geliu gatviu sutvarkymui normaliam - tam truksta tik geros masinu parkavimo vietos prieigose is Kauno gatves, kur tikrai yra plotu tam nepanaudotu. Tada atsigautu jau rekonstruotas ir vejais siuo metu paleistos lesos Stepono7 prekybos centrui - nefunkcionuoja,nes nera kur parkuotis. Suaktyvetu smulkus verslas , Vilnius atgautu dar viena kvartala nuostabu gyvenimui - ir zmonems - dziaugsmui, darbo vietoms, turizmui.

2. Projektas paruostas netinkamai, netinkamai sudelioti prioritetai, pergrusta ""ideju"" kurios realybeje kirsis ir net fizikai netures vietos buti realizuotom ( kokia nauda is nuzymetos buvusios gatves ribu uzstatytu prekybiniais kioskais?) Kam dar tu kiosku prekybiniu ten? kavines, parduotuves neissilaiko, Tymo turgus tuscias, Pilies gatve salia su nelabai kokiais, jei atvirai, suvenyrais.

Man aki rezia dar kitas dalykas. Esu vilniete

( lietuve, jei ka) uzaugusi nuo gimimo butent Vokieciu  (taryb. m. buv.Muziejaus) gatveje, Sinagogos kieme. Sita Zydu geto  vieta yra specifine, sakraline, visiskai nelietuviska - nebijua sito zodzio. Todel esu uz kulturinga , pamatuota, protinga ir subtilu gatves rekonstrukcija kuriai reikia tinkamai pasiruosti. Gal protingiau einamu momentu butu pirmiausi pergristi senamiescio grindinius ( isaugant autentika!) sudeti saligatvius normaliia ( ne kininem plytelem kurios netinka musu klimatui) pasirupinti, kad Vilniuas stogai isliktu autentiski, bent jau spalva ir medziagiskumu ( pagal pavildosauga priklauso naudoti tik molones raudono molio cerpes_patikrinkite kiek yra prasiklatusiu istaigu valstybiniu!!! surinkite  baudas, pasipildysite biudzeta skysta.) Kita dalis senamiscio stogu - kiek tolua nuo centro - stoties rajone - asbesto stogai ir zmones kvepuoja, gyvena, kiekviena diena.","Jei ne, kur siūlytumėte įrengti? 1.Kodel spaudoje nera paskelbta kas ir pagal kokius kriterijus atrinkines tuos kulturai ir menui nusipelniusius zmones? Bus vadovaujamasi Tomo Venslovos knyga grazia - yra is ko rinktis ir kur rasti - kazkas  ( T.V.) jau atliko uz jus sita darba.

ar gal kas ""prakisines"" zinomus krepsininkus, siuolaikines ""estrados"" zvaigzdes, muzikantelius ( nesvarbu, kad tauta megsta, svarbu verte isliekamoji  ne tik Lietuvos, bet dar ir pasaulio kontekste - ir turime tokiu zmoniu, tik jie nukisti toli toli. O gal kas uz pinigus, kaip straipsnius dienrasciuose, nuspres blondiniu silikoniniu krutu antspaudais istorine Vilniuas sirdi iskloti?

Kur garantija ir viesumas, kad negausime antro ""Akropolio"" beskonio?

Ir, patinka ar ne, bet si vieta yra grynia zydiska Vilniuje, net namo numeriai laiptinese i kaire puse skaiciuojami, ornametika islikusi. Todel butu padoru derama pagarba atiduoti ir siems ziaurios istorijos  sunaikintiems zmonems. Ir Sinagogos iamzinimas  dwramas turi buti. Cia tik musu neisprusimas kaltas, kad nesuvokiame kiek svarbi ta vieta buvo ir yra istoriskia ne tik zydams, bet ir visam pasauliui.

2. Zenklu dizainas nera tinkamas siai istirinei Vilniuas vietai - pats zenklu dizainas butu viasia dailus, bet ne zydu geto vietai!!! turiket nuovokos, prasau. 

Sioje vietoje lietuviai tik po karo is kaimu suvaziave apsigyveno sovietu sukvieti,todel nieko bendro neturi su tautiniais ornamentais si vieta."
9/27/15 14:18,Taip,"Jei ne, kur siūlytumėte įrengti? niekur, gana Vilnių paminklinti"
9/27/15 12:43,Ne,Ne
9/27/15 12:13,Taip,Taip
9/27/15 12:04,Taip,Ne
9/27/15 11:58,Ne,Ne
9/27/15 11:49,"Jei ne, kodėl? Jūsų pasiūlymai. Jokios pagarbos istorijai, ir gatve nesujungta su getom.","Jei ne, kur siūlytumėte įrengti? Snipiskese"
9/27/15 11:33,Taip,Ne
9/26/15 18:10,Taip,"Jei ne, kur siūlytumėte įrengti? Rotušės aikšėje."
9/26/15 17:33,Taip,Ne
9/25/15 10:18,Taip,Taip
9/25/15 0:40,Taip,Ne
9/24/15 15:31,Taip,"Jei ne, kur siūlytumėte įrengti? Lietuvai to nereikia.."
9/23/15 11:12,Taip,Ne
9/21/15 21:38,Ne,Ne
9/21/15 15:27,Ne,Ne
9/21/15 14:13,Taip,"Jei ne, kur siūlytumėte įrengti? Konstitucijos prospekte"
9/21/15 11:43,Taip,Taip
9/20/15 3:16,Taip,Taip
9/19/15 15:02,Ne,Ne
9/19/15 13:43,Taip,Taip
9/18/15 15:02,Taip,"Jei ne, kur siūlytumėte įrengti? Gal ir galima, bet tik netoli ŠMC. O menui skirta erdvė - buvusios Gugenhaimo idėjos vietoje"
9/18/15 15:01,Ne,Taip
9/18/15 14:20,Taip,Taip
9/18/15 10:39,Ne,Ne
9/18/15 10:24,Taip,Ne
9/17/15 20:24,Taip,Ne
9/17/15 17:23,Taip,Ne
9/17/15 15:52,Taip,Ne
9/17/15 13:04,Taip,Ne
9/17/15 11:01,Taip,Taip
9/16/15 19:10,Ne,Ne
9/16/15 16:29,Taip,Taip
9/16/15 15:51,Taip,Taip
9/15/15 23:06,Taip,Taip
9/15/15 15:44,"Jei ne, kodėl? Jūsų pasiūlymai. Isiklausius į vietos erdvę","Jei ne, kur siūlytumėte įrengti? Prie Akropolio"
9/15/15 15:34,Taip,Ne
9/15/15 15:08,Taip,"Jei ne, kur siūlytumėte įrengti? Perkūnkiemyje"
9/15/15 14:07,Taip,Ne
9/15/15 8:56,"Jei ne, kodėl? Jūsų pasiūlymai. Neaiškūs galutiniai tikslai",Ne
9/15/15 0:10,Ne,Ne
9/14/15 23:53,Taip,Ne
9/14/15 22:52,Taip,Taip
9/14/15 20:54,Taip,Taip
9/14/15 14:41,"Jei ne, kodėl? Jūsų pasiūlymai. Mano nuomone šiuo metu tikrai yra svarbesnių klausimų negu naujas Vokiečių g. interjeras",Ne
9/14/15 14:24,Ne,Ne
9/14/15 9:53,Taip,"Jei ne, kur siūlytumėte įrengti? Swreikiškių parke"
9/13/15 14:42,"Jei ne, kodėl? Jūsų pasiūlymai. Vokiečių g. yra mūsų miesto senamiesčio dalis ir mes turėtume ją tausoti, o ne niokoti.","Jei ne, kur siūlytumėte įrengti? Europos aikštėje."
9/13/15 13:38,Taip,Taip
9/12/15 23:14,Taip,"Jei ne, kur siūlytumėte įrengti? Naujamiestyje"
9/12/15 22:54,Taip,Taip
9/12/15 22:35,Taip,Ne
9/12/15 12:09,Taip,Taip
9/11/15 22:19,Taip,Ne
9/11/15 19:03,Taip,Ne
9/11/15 17:18,Taip,Taip
9/11/15 14:51,Taip,Ne
9/11/15 14:08,Taip,Taip
9/11/15 13:27,Taip,Ne
9/11/15 11:04,Taip,Ne
9/10/15 13:59,Taip,Taip
9/10/15 12:46,Ne,Taip
9/10/15 12:02,Ne,Taip
9/9/15 13:53,Taip,Ne
9/9/15 13:46,Taip,Ne
9/9/15 13:22,Taip,Taip
9/9/15 7:57,Taip,Taip
9/8/15 19:49,Taip,Ne
9/8/15 15:45,Taip,Taip
9/8/15 14:55,Taip,Ne
9/8/15 12:20,Taip,Ne
9/7/15 16:31,Taip,Taip
9/6/15 16:15,Taip,Ne
9/6/15 9:59,Ne,Ne
9/6/15 8:50,Ne,Ne
9/6/15 8:48,"Jei ne, kodėl? Jūsų pasiūlymai. Yra svarbesnių sričių, kuriuose trūksta pertvarkos (investicijų).","Jei ne, kur siūlytumėte įrengti? visai to nereikia"
9/5/15 23:54,Taip,Ne
9/5/15 13:59,Taip,Taip
9/5/15 12:11,Ne,"Jei ne, kur siūlytumėte įrengti? Fabijoniskese"
9/4/15 20:17,Taip,Ne
9/4/15 18:50,Taip,Taip
9/4/15 18:41,Taip,Taip
9/4/15 17:22,Ne,Ne
9/4/15 14:42,Taip,Taip
9/4/15 13:47,Taip,Ne
9/4/15 12:43,Ne,Ne
9/4/15 10:54,"Jei ne, kodėl? Jūsų pasiūlymai. Nenorėčiau, kad būtų palikta tik viena važiuojamoji gatvė, nes gyventojams kairėje Vokiečių g. pusėje gyvenimas būtų dar labiau sudėtingas. Šiaip, ar šiais laikais verta tiek investicijų skirti tam, kas nėra būtina...",Ne
9/3/15 22:22,Taip,Taip
9/3/15 19:15,Taip,Ne
9/3/15 18:14,Taip,Ne
9/3/15 17:02,Taip,"Jei ne, kur siūlytumėte įrengti? naujamiesty"
9/3/15 15:10,Taip,Ne
9/3/15 14:20,"Jei ne, kodėl? Jūsų pasiūlymai. Visiškai nepritariu. Mere, smarkiai kritikavote buvusį merą, tačiau pats elgiatės ne ką geriau. Garantuoju, kad už tas lėšas Vokiečių gatvei tvarkyti būtų galima sėkmingai baigti spręsti kad ir pvz. darželių problemas (vietų stygių).",Taip
9/3/15 13:33,Taip,Taip
9/3/15 12:44,Taip,"Jei ne, kur siūlytumėte įrengti? Konstitucijos pr., Lvovo g., Šeimyniškių g., Upės g."
9/3/15 12:22,Taip,Taip
9/3/15 10:07,"Jei ne, kodėl? Jūsų pasiūlymai. Esu Vilnietis, dirbes su interjeru ir fito dizainu.

Nedarykime is Vokieciu gatves, Palangos basanaviciaus alejos su kaviniu erdvemis ir perdeta muzika, parko pupastiskumu.

Padarius gatveje parkelius ar uzkampius pasisedeti, juos uzima nepilnameciai su rukymu ir semkemis kaip vinco kudirkos aikste (labai nesvaru).



Mano Siulymai: Svarbu platesnis pesciuju takas.

dviraciu takas bent per pora metru nuo pesciuju tako, tuose metruose dviraciu/moto parkavimas. Smagu sutikti kolega vaziuojant dviraciu, tad dviratis nera nuo tasko A iki B. Ir SVARBIAUSIA mieste labai truksta automobiliu parkavimo vietu ir pasisedejimo tokio kaip Gedimino pr 9 laiptai. Galima irengti atvira erdve su fontanu ir atvira erdve i rotuses puse o kitoje daugiau zalumis ir vietos pasitiesti pleda, pavakaroti su gitara kaip seniau musu vokieciu g. 

Atsizvelkite i tai kad padarytame projekte daug zoles ir augalu kurie kasmet reikalaus prieziuros ir islaidu. Vokieciu g, tai ne 1980 . Tai siandiena susipynusi su praeitimi. Viena is Kaviniu galetu tureti Kino siena varzyboms, kitoje jos puseje galetume sedeti nevarzomi kavines kad turime sulciu ar snekuciuotis. Siai Dienai atrodo kad privalai vokieciu g lauko kavineje sedeti, nes ju baldai geresni nei miesto suoliukai :) Turiu pilna ideju +37066229729  Pagarbiai Vilnietis Aistis","Jei ne, kur siūlytumėte įrengti? Iskart uz uzupio antrojo tilto, Malunu gatve tikrai galetu atrodyti geriau. Vokieciu gatve yra per judri kad joje sustoti ir ramiai paskaityti apie garsius zmones. Panasi gatve yra Paupio, tiesiog nera zemelapio 10 svarbiausiu vilniaus vietu tiek uzsenieciui, tiek vilnieciui."
9/3/15 9:37,Ne,Ne
9/2/15 22:22,"Jei ne, kodėl? Jūsų pasiūlymai. Net  nesvarstoma fragmentinio atkūrmo galimybė, ypač tokiose vietose, kur istorinio senamiesčio teritorijoje vyrauja grynai sovietinis urbanizmas(pvz.: Domininkonų- Vokiečių kampas, S. Neries mokyklos sporto salė, ŠMC pastatas). Paprastas papudravimas iš esmės nieko nepakeis, - senamiestį toliau ardys stalinistinis prospektas.","Jei ne, kur siūlytumėte įrengti? Naujamiestyje arba Konstitucijos prospekte, nes kalbama apie dabartines garsenybes. Senamiestis tinka istorinių asmenybių įamžinimui."
9/2/15 20:58,Taip,Taip
9/2/15 20:14,Taip,"Jei ne, kur siūlytumėte įrengti? O kodėl ją būtinai reikia įrengti? Su šia įamžinimo vieta vokiečių gatvė, net rekonstruota ir naujai įrengta, būtų labai pergrūsta. ""Žvaigždžių alėjai reikia erdvios vietos, aikštės ar parko, pakraščio, o turistus sužavės ir žalia pėsčiųjų zona vokiečių gatvėje."
9/2/15 20:04,Ne,Ne
9/2/15 19:16,Taip,Ne
9/2/15 19:11,Taip,"Jei ne, kur siūlytumėte įrengti? Tokia vieta jau yra Nidoje, Vilnius nėra nei ypatinga vieta toms žvaigždėms, nei iš Vilniaus tos žvaigždės kilę (geriau paskiras žvaigždes įamžinti jų gimimo, veiklos vietose, ten, kur jas norintys aplankyti žmonės rastų ir nusipelniusiems asmenims būdingą aplinką). Jeigu tie nusipelnę asmenys yra mirę, tai yra jų kapai aplankymui."
9/2/15 18:59,Taip,Taip
9/2/15 18:51,Ne,Taip
9/2/15 18:45,"Jei ne, kodėl? Jūsų pasiūlymai. Nebuvo diskusijos su visuomene, nepakankamas projekto viešinimas, viešojoje erdvėje labai trūksta žinių apie Vokiečių gatvės rekonstrukciją - visas šis trūkumas neleidžia susidaryti aiškios nuomonės, todėl yra pagrindo baimintis, kad projektas parengtas skubotai, neatsižvelgiama į miestiečių ir miesto svečių interesus, nėra siekiama tarnauti istorijos išsaugojimui","Jei ne, kur siūlytumėte įrengti? Siūlyčiau naujoje miesto vietoje - Konstitucijos pr. ar ateityje numatyti šalia rekonstruotų Sporto rūmų."
9/2/15 18:27,Ne,Ne
9/2/15 18:23,Ne,Ne
9/2/15 17:57,Taip,Ne
9/2/15 16:53,Taip,Taip
9/2/15 14:28,Taip,Ne
9/1/15 23:25,Ne,Ne
9/1/15 22:57,"Jei ne, kodėl? Jūsų pasiūlymai. Labai gaila, kad nėra pasirinkimo ""taip, bet turiu pastabų"". Todėl teks rašyti taip, nors iš esmės pertvarkymas nėra blogai, priprasime prie naujovių per kurį laiką. 

Projekto trūkumai: visiškai apeitas klausimas, ar bus iškirsti visi esami medžiai - liepos ir spygliuočiai, esantys gatvėje ir esami kiti želdiniai (kad ir tos pačios alyvos). Yra tik užuominų apie pastos būklės medžius, kurios netaikytinos visų jų atžvilgiu. Jei nebus pasakyta aiškiai, kad bus kertami tik pažeisti medžiai, tiesiog sulauksite triukšmo, kai paaiškės, kad visgi kirtimas vyks. Jei medžiai bus šalinami plynai - bus tik dar labiau atidengti ""sovietinės architektūros pastatai"" ir žmonės neteks pavėsio, nes nauji medžiai paūgės gal per 10 metų. Jei jiems bus leidžiama.

Kitas dalykas, suoliukai. Visiškai nesuvokiamas sprendimas suprojektuoti šezlongo proporcijų suoliukus su atlošais. Jie gal ir ""dizaineriški"", bet absoliučiai nepatogūs žmogui (ar suoliukai dėl grožio ar dėl patogumo?).

Trečias dalykas, vienos pusės pavertimas pėsčiųjų zona. Toje pusėje yra daug viešojo maitinimo įmonių, parduotuvių, žinoma, ir gyvenamieji namai. Ir per kiemus ten neprivažiuosi. Būtina aiškiai nurodyti, ar fiziškai bus įmanoma žmonėms privažiuoti, atsigabenti produktus, įrangą. Tai padės išvengti bereikalingų aistrų.",Ne
9/1/15 21:40,Taip,"Jei ne, kur siūlytumėte įrengti? Tik ne istoriniame senamiestyje. Puikiai tinka vieta prie Vilniaus kultūros, pramogų ir sporto rūmų (Žirmūnų 1E) arba ant prie Respublikinių profsąjungų kultūros rūmų (V. Mykolaičio-Putino g.)"
9/1/15 17:03,Taip,Taip
9/1/15 13:22,Taip,Taip
9/1/15 12:56,Taip,Taip
9/1/15 12:48,Taip,"Jei ne, kur siūlytumėte įrengti? Manau nereikia niekur jos įrenginėti. Tokia vieta buvo skirta Nidoje"
9/1/15 12:07,Taip,Taip
9/1/15 11:35,Ne,Ne
9/1/15 11:32,Taip,Taip
9/1/15 11:25,"Jei ne, kodėl? Jūsų pasiūlymai. Neišsamus projektas, neaišku kiek kainuos projektas miesto gyventojams, vokiečių gatvė nėra ta gatvė, kurią būtina rekonstruot, Pilies gatvės rekonstrukcijai pritaikant ją dviratininkams būtų naudingiau",Taip
9/1/15 8:10,Taip,"Jei ne, kur siūlytumėte įrengti? Užupy, kuris asocijuojasi su menininkų kraštu. Prie Siemens arenos žymūs sportininkai įamžinti, retas kuris juos žino....."
9/1/15 1:02,Taip,Taip
8/31/15 21:13,"Jei ne, kodėl? Jūsų pasiūlymai. O kam reikalinga ta rekonstrukcija? Ar jau tokia kritinė jos būklė? Kada bus pradėtos tvarkyti Šnipiškės? Viduryje miesto nei asfalto, nei kanalizacijos, nei vandentiekio.",Ne
8/31/15 18:44,Ne,Ne
8/31/15 17:37,Taip,Ne
8/31/15 14:38,Ne,Ne
8/31/15 10:34,Taip,Ne
8/31/15 10:26,Taip,Ne
8/31/15 9:59,Taip,"Jei ne, kur siūlytumėte įrengti? Stoties rajone"
8/30/15 23:10,Taip,"Jei ne, kur siūlytumėte įrengti? Konstitucijos prospekte, Užupyje."
8/30/15 22:55,"Jei ne, kodėl? Jūsų pasiūlymai. Savivaldybe turi svarbesniu projektu, nei Vokieciu gatves rekonstrukcija. Tas projektas tikrai gali palaukti. Geriau susirupinkite ikimokyklinio ugdymo istaigu kurimu. Kuo daugiau dirbanciu tevu , tuo daugiau mokesciu moketoju tures Vilnius. Jei tai ne motais, bent susirupinkite tuo , kad Vilnius budu atviras seimoms su mazais vaikais, nes siu metu jokiu laisvalaikio praleidimo vietu seimoms su vaikais miestas beveik neturi. Bernardinu sodas perpildytas, o Vingio parke maziesiems net ner ka veikti ( tiek vietos, o vaiku zaidimo aiksteles pasibaisetinos, prie daugiabuciu namu kiemuose daugiau vietos)","Jei ne, kur siūlytumėte įrengti? Palei Neri, kur planuojama pakrantes rekonstrukcija."
8/30/15 22:05,Taip,"Jei ne, kur siūlytumėte įrengti? Sutikčiau, bet plytelės gana senamadiškos ir nepatrauklios. Nelabai gražios tokiai Vilniaus vietai pačioje Vilniaus širdyje."
8/30/15 16:45,Taip,Ne
8/30/15 15:05,Taip,"Jei ne, kur siūlytumėte įrengti? Ateityje, tvarkant Operos ir Baleto teatro aplinka, ja butu galima irengti A. Vienuolio gatveje. Vokieciu gatve reiktu palikti pestiesiems, kur nesimaisytu visokie klupinetojai ir fotografuotojai. Be to nemanau, kad zvaigzdziu aleja labai jau tinkama Vokieciu gatvei. Geriau iamzinti klestincio zydu kvartalo atminima. Arba isvis - atsisakyti sio kico."
8/30/15 11:32,Taip,Ne
8/29/15 17:11,Taip,Taip
8/29/15 15:16,Ne,Ne
8/29/15 10:21,Taip,Ne
8/29/15 0:03,"Jei ne, kodėl? Jūsų pasiūlymai. Noresi daugiau medziu ir zalios vejos.",Taip
8/28/15 13:54,Taip,"Jei ne, kur siūlytumėte įrengti? nežinau, kur įrengti, bet labiau norėtųsi matyti šiuolaikinius ar klasikinius meno kūrinius, skulptūras, jos daug labiau pagyvina miestą, yra patrauklesnis objektas turistams, be to, demonstruoja, kad Lietuva nėra tik užsikonservavusi savo didžioje praeityje, bet yra tiek istorinis miestas su praeitimi, tiek modernus regiono centras. Manau, reikia derinti praeities palikimą su šiuolaikinėmis realijomis, naujovėmis ir kultūra."
8/28/15 13:05,Taip,Ne
8/28/15 11:43,Taip,Taip
8/28/15 11:08,Ne,Ne
8/28/15 9:50,Taip,Taip
8/28/15 9:30,Taip,"Jei ne, kur siūlytumėte įrengti? Kol neaišku kas tie garsūs meno ir klutūros veikėjai, tol šis klausimas nėra tikslus. Taigi po tokiais skambiais terminais galima ir mikutavicius su mamontovais paslept."
8/28/15 8:09,Ne,Ne
8/27/15 21:54,"Jei ne, kodėl? Jūsų pasiūlymai. Yra gera mintis sutvarkyti Vokiečių gatvę, želdynais sužymėti buvusius pastatus, tačiau ten nelabai tinka minimas kultūros veikėjų įamžinimas. Manau idealus variantas būtų visgi atstatymas buvusių pastatų. Visas tas plotas galėtų tapti panašiai kaip Rotermanni rajonėlis Taline - išskirtinės architektūros.","Jei ne, kur siūlytumėte įrengti? Dauguma mūsų žymių kultūros žmonių visgi manau būtų per ""jauni"" senamiesčiui. Tikriausiai ten nebūtų viduramžių bardų ir romantizmo kūrėjų. Senamistis - istorinė vieta. BET Vilnius turi Naująjį Miesto Centrą, kuris yra iš tikro truputį primirštas. Toks įamžinimas ten manau labiau tiktų, plius tai taptų traukos vieta. Konstitucijos prospekte traukos objektų, mažosios architektūros trūksta. Padėtį taiso Quadrumas su savo Art In Quadrum bei K29 vieša erdvė/parkelis bei jo pačio išskirtinė architektūra. Bet ten norėtusi daugiau būtent mažosios architektūros - skulptūrų, lietuvos žvaigždžių alėjos ir pan."
8/27/15 20:15,Taip,Taip
8/27/15 14:11,Taip,Taip
8/27/15 13:56,Taip,Taip
8/27/15 10:04,Taip,Ne
8/27/15 9:08,Ne,Ne
8/27/15 1:41,Ne,Ne
8/26/15 21:36,Taip,Ne
8/26/15 20:59,Taip,Taip
8/26/15 20:56,Taip,"Jei ne, kur siūlytumėte įrengti? Laba diena,

darant Vokiečių gatvės rekonstrukciją siūlytume pažymėti Lietuvos ir Vilniaus vokiečių gyvenančių Vilniuje  700 metų gyvenimo Lietuvoje ir Vilniuje sukaktį.

1320 metais pirmą kartą paminėta Vilniaus vokiečių pastatyta Šv. Mikalojaus bažnyčia. 

Lietuvoje gyvenantys vokiečiai dėl 1940-1941 metais įvykdyto priverstinio iškeldinimo iš Lietuvos ir 1945 metais dėl sovietų Lietuvoje ir ypač Klaipėdos krašte įvykdyto etninio valymo yra nepelnytai pamiršti. Tačiau jie vis dar yra. Lietuvos vokiečiai yra seniausia Lietuvos tautinė bendrija, kuri šimtmečiais dirbo Vilniui ir Lietuvai. Vokiečių architektas Johanas Kristupas Glaubitzas sukūrė Vilniaus baroko veidą, chemijos genijus Teodoras Grotusas sukūrė pirmąją elektrolizės teoriją ir  mokslo pasauliui žinomą Grotuso mechanizmą.

Auksakalių, ginklininkų,laikrodininkų cechų meistrai, riteriai, dvasininkai, spaustuvininkai, Vilniaus miesto  municipaliteto nariai ir mecenatai, štai kas yra vokiečių bendruomenė Vokiečių gatvėje. Šioje miesto dalyje taip pat gyveno anglai, škotai, flamandai, prancūzai, švedai -visa protestantiškoji Vakarų europa.

Siūlome Vokiečių gatvėje pastatatyti bronzinį Vokiečių senosios, dar sovietų nesugriautos gatvės maketą bei papuošti jį Lietuvos, Mažosios Lietuvos, Vilniaus, Tyzenhauzų, Riomerių, Pliaterių, von Grottussų  ir kitų žymių Lietuvos vokiečių didikų šeimų Herbais.

Manome, kad tai būtų gražus Vilniaus, Duisburgo ir Erdurto draugystės pavyzdys ir pagarbos ženklas totalitarizmo nesunaikintai vokiečių bendrijai ir Vilniaus istorijai."
8/26/15 20:42,Ne,Ne
8/26/15 16:05,Taip,Taip
8/26/15 14:29,"Jei ne, kodėl? Jūsų pasiūlymai. Naivus meninis sprendimas. Buvusio užstatymo pažymejimas nekuria buvusio užstatymo erdvinio jausmo.

Gal geriau atkasti buvusi užstatyma ,kad ištikrųju matytusi jis ar bent jau jo likučiai (rusiai pamatai ) gal galima pesčiuosius itraukti i istorija leidziant jiems judeti ne tik plokštumoje bet ir vertikalioje dimencijoje, leisti pasinerti i istorini vilniu po zeme arba atsidurti virš stogų. 

Tai yra ne rekonstrukcijos projektas ,o kosmetinis remontas. 

Sprendimai turėtu atitikti šių laikų poreikius bei buti inovatyvūs.

Reikėtu skelbti rekonstrukcijos idėjos konkursą.",Taip
8/26/15 12:05,Taip,Ne
8/26/15 10:21,Taip,Ne
8/26/15 8:11,Taip,"Jei ne, kur siūlytumėte įrengti? garsiems veikėjams galėtų būti skirta atskira vieta ,,Meno skveras"". Vilniuje labai trųksta žalių erdvių, kiekvienas kampas užstatomas gyvenamaisiais ir viskas ,,grūdžiama"" vienoje vietoje. Atskiri skverai su prasme, tai ir trauka turistams ir patiems vilniečiams poilsiui ir mokiniams mokymo prasme."
8/25/15 23:43,Taip,Taip
8/25/15 22:16,Taip,Ne
8/25/15 18:50,Taip,Ne
8/25/15 17:49,Ne,Ne
8/25/15 16:49,Taip,Ne
8/25/15 16:08,Taip,Ne
8/25/15 10:07,Taip,Taip
8/25/15 7:53,Taip,Ne
8/24/15 21:42,Taip,"Jei ne, kur siūlytumėte įrengti? Palangoje"
8/24/15 19:05,Ne,Ne
8/24/15 17:02,Taip,Ne
8/24/15 16:42,Taip,Taip
8/24/15 15:39,Taip,Ne
8/24/15 13:25,Taip,Ne
8/24/15 13:17,Taip,Ne
8/24/15 12:52,Taip,Taip
8/24/15 11:32,Taip,Taip
8/24/15 10:53,Ne,Ne
8/24/15 9:32,Taip,Taip
8/23/15 22:51,Taip,Ne
8/23/15 16:35,Ne,Ne
8/23/15 16:10,Taip,Taip
8/22/15 14:01,Taip,Taip
8/22/15 11:33,Taip,"Jei ne, kur siūlytumėte įrengti? Naujiems projektams geriau ieškoti vietų naujose Vilniaus rajonuose, taip juos pagyvinant, o senamiestį reikia ne perdirbinėti, o saugoti ir atkūrinėti kas sugriauta. Šiuo metu prie Kalnų parko projektuojami nauji Muzikos akademijos pastatai, visai tinkama vieta paieškoti kur tinkamai meno ir kultūros veikėjus įamžinti."
8/22/15 9:53,Ne,Ne
8/22/15 9:49,"Jei ne, kodėl? Jūsų pasiūlymai. Pirmiausia - šiandien tai nėra prasta gatvė, yra labai daug kitų, reikalaujančių remonto (paminėčiau pirmiausia Naujamiestį, Ševčenkos g. apšvietimą, tiksliau, jo nebuvimą, ir dangą, Kalinausko, Čiurlionio pėsčiųjų plyteles ir t.t). Šalia centrinių gatvių retimos yra pamirštos, nebūtinai miegamieji rajonai. Antra - nėra dar aiškios koncepcijos, nes yra daug nuomonių, ir dar reikėtų išgryninti mintis.","Jei ne, kur siūlytumėte įrengti? Ne, nes atranka tik sukiršins žmones. Jei svarstomos TV žvaigždės, tegul tai būna prie TV pastatų. O šiandien jau gal reikėtų Facebooko žvaigždžių? Jei istorinėje gatvėje kalbama apie Selo ar Marijono įamžinimą, tada pagalvokime, ar statytume jiems paminklus šalia Gedimino?"
8/21/15 18:30,Taip,Ne
8/21/15 15:20,Taip,Ne
8/21/15 14:51,Taip,Taip
8/21/15 8:10,Ne,Ne
8/20/15 17:31,Taip,"Jei ne, kur siūlytumėte įrengti? Įamžinimo vietos turi būti įrengiamos individualiai tose vietose, kur veikėjai vykdė savo veiklą, gyveno ir kūrė, nėra reikalo bandyti dirbtinai surinkti į vieną vietą. Nėra jokio poreikio stengtis atkartoti ""žvaigždžių alėjas""."
8/20/15 15:35,Ne,Ne
8/20/15 15:26,"Jei ne, kodėl? Jūsų pasiūlymai. Zmones... pastatykite geriau kelis darzelius, kad mamytes su dideliais vaikais galetu eiti dirbti ir kaupti pinigelius i biudzeta, o ne metu metais sedetu namuose. Ne visos mamytes turi savo mamas, kad joms padetu. Nuo rekonstruotos vokieciu gatves darzeliu problema tikrai neissispres",Taip
8/20/15 15:07,Taip,Taip
8/20/15 13:03,Taip,Ne
8/20/15 12:28,Taip,Taip
8/20/15 11:30,Ne,Ne
8/20/15 8:18,Taip,Ne
8/19/15 20:43,Taip,Ne
8/19/15 17:14,Ne,Ne
8/19/15 11:48,Ne,Ne
